step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J,timestamp
66,0.9996060729026794,0.9997079688977896,2.2499999999814335e-05,2.2637786512800597e-05,fast,STABLE,-2.5473998777503226e-05,2.965840568662359e-05,-2.0207008586403674e-06,,,,0.000416427097320371,0.0003823829612732421,1770134193.2973251
67,0.9998782873153687,0.9997420325813055,2.262499999994283e-05,2.2635229210229047e-05,fast,STABLE,3.4063683515883625e-05,2.8511639046415298e-05,-4.432284106092865e-06,,,,0.00014433768463129049,0.00023017586135853918,1770134193.2988422
68,0.9998173713684082,0.9997571003387261,2.250000000003638e-05,2.2608183368190513e-05,fast,STABLE,1.5067757420661465e-05,2.926858794554731e-05,3.4446054544057247e-06,,,,0.00020512863159183325,0.0002729956241760423,1770134193.3003478
69,0.9994860887527466,0.9997028980215303,2.2458000000113998e-05,2.2578146694575208e-05,fast,STABLE,-5.420231719577284e-05,3.0078767974798124e-05,-9.863811028298919e-06,,,,0.000536369247253532,0.0003209129678649614,1770134193.30147
70,0.9996324777603149,0.9996888139692873,2.2457999999891953e-05,2.2554117355638558e-05,fast,STABLE,-1.4084052243013012e-05,2.3886227705944806e-05,-8.925785455948798e-06,,,,0.00038998023968495055,0.0002606222534178304,1770134193.3026
71,0.9995380640029907,0.9996586639760281,2.254099999987602e-05,2.255149388448605e-05,fast,STABLE,-3.0149993259231955e-05,3.2214546985535154e-05,-9.860984352294544e-06,,,,0.00048447699700915337,0.0001443630100401716,1770134193.303725
72,0.9995920062065125,0.999645332422125,2.3083000000090337e-05,2.2657795107606908e-05,fast,STABLE,-1.3331553903039861e-05,3.702616534957066e-05,-1.9340031836079242e-05,,,,0.00043107679348763916,0.00031954129409794696,1770134193.304959
73,0.9998262524604797,0.9996815164297961,2.4999999999941735e-05,2.3126236086073876e-05,fast,STABLE,3.618400767102514e-05,3.690299026522856e-05,-1.5116781786006506e-05,,,,0.0001987475395202054,0.0002755695077820697,1770134193.306201
74,0.9994579553604126,0.9996368042159195,2.445899999981016e-05,2.3392788868821133e-05,fast,STABLE,-4.4712213876585416e-05,3.894720665560766e-05,-1.321876112216902e-05,,,,0.0005665036395872125,0.0001053504562376073,1770134193.307395
75,0.9996938109397888,0.9996482055606934,2.3500000000176158e-05,2.341423109509214e-05,fast,STABLE,1.1401344773953603e-05,3.9028377894585144e-05,-8.121681718775698e-06,,,,0.0003296890602113578,0.00023275623321539207,1770134193.3085802
76,0.9998364448547363,0.9996858534195021,2.3624999999860563e-05,2.3456384876045826e-05,fast,STABLE,3.7647858808664836e-05,3.839520573883774e-05,5.4378886948036605e-06,,,,0.00018718014526353244,0.0004178402366636913,1770134193.309752
77,0.9997462630271912,0.99969793534104,2.304200000002865e-05,2.3373507900842394e-05,fast,STABLE,1.2081921537898666e-05,3.3819461075933966e-05,1.0520583782991367e-05,,,,0.00027677897280886654,0.00021643035125751275,1770134193.311311
78,0.9998359084129333,0.9997255299554187,2.3415999999887305e-05,2.3382006320651377e-05,fast,STABLE,2.7594614378734228e-05,2.7360790231050354e-05,8.802705124533183e-06,,,,0.0001875075870665377,0.00013418196469117127,1770134193.31249
79,0.9998921751976013,0.9997588590038553,2.379199999991144e-05,2.346400505650339e-05,fast,STABLE,3.332904843655893e-05,3.631221460293802e-05,2.4410957587162053e-05,,,,0.00013161680239859308,0.00020048672503669707,1770134193.313737
80,0.9995940923690796,0.9997259056769001,2.3709000000149416e-05,2.3513004045232597e-05,fast,STABLE,-3.295332695518738e-05,3.856646795628437e-05,1.5540023241333856e-05,,,,0.00042961663092055957,0.0001555624275206835,1770134193.315304
81,0.9997894167900085,0.9997386078995218,2.345800000003173e-05,2.3502003236192425e-05,fast,STABLE,1.270222262172993e-05,4.022599897904121e-05,1.0550896003946875e-05,,,,0.0002340412099914868,0.0002769174842833788,1770134193.3164742
82,0.9996382594108582,0.9997185382017891,2.2999999999884224e-05,2.3401602588930785e-05,fast,STABLE,-2.0069697732716385e-05,3.7165004202547e-05,4.1205721498238645e-06,,,,0.00038474058914172993,0.00016287040347284787,1770134193.317665
83,0.999833345413208,0.999741499644073,2.324999999991917e-05,2.3371282071128462e-05,fast,STABLE,2.296144228386421e-05,3.823629953354328e-05,3.1939377308498607e-06,,,,0.00018990458679191136,0.00021752686273179833,1770134193.3188329
84,0.9997682571411133,0.999746851143481,2.2959000000044583e-05,2.3288825656911687e-05,fast,STABLE,5.3514994080572365e-06,3.1463391556343006e-05,-2.4015720748504775e-06,,,,0.00025470185888676333,6.0808646972665414e-05,1770134193.319999
85,0.999148964881897,0.9996272738911642,2.2874999999977774e-05,2.3206060525524904e-05,fast,STABLE,-0.00011957725231681593,3.639806838550384e-05,-1.9726357147176186e-05,,,,0.0008739101181030051,0.0002610744627074002,1770134193.321171
86,0.9993069767951965,0.9995632144719708,2.3416999999970045e-05,2.3248248420413934e-05,fast,STABLE,-6.405941919340741e-05,5.860621275998875e-05,-3.5078685510203654e-05,,,,0.0007164402048034368,0.0001684908447265876,1770134193.3223732
87,0.9997855424880981,0.9996076800751963,2.341600000010935e-05,2.3281798736353018e-05,fast,STABLE,4.446560322546311e-05,6.545923738632681e-05,-2.2171625318567755e-05,,,,0.00023787351190196482,0.00016910426330563055,1770134193.3235378
88,0.9998760223388672,0.9996613485279304,2.354200000009854e-05,2.3333838989102125e-05,fast,STABLE,5.3668452734134675e-05,6.533633494734333e-05,-1.6030223228513664e-05,,,,0.00014751966113291104,0.00034177915173350115,1770134193.325115
89,0.9998374581336975,0.9996965704490839,2.3499999999954113e-05,2.3367071191272524e-05,fast,STABLE,3.522192115346101e-05,6.121654399071671e-05,-1.0056138879432907e-05,,,,0.00018604186630244435,0.00018399384307854483,1770134193.3262742
90,0.9995647668838501,0.9996702097360373,2.31669999999351e-05,2.3327056953005038e-05,fast,STABLE,-2.6360713046624795e-05,5.954761369531912e-05,8.587168974605319e-06,,,,0.00045840011614983744,0.0001740280534667793,1770134193.327436
91,0.9995700120925903,0.9996501702073479,2.324999999991917e-05,2.3311645562387866e-05,fast,STABLE,-2.003952868934178e-05,5.6243308112577644e-05,1.7391147075418444e-05,,,,0.00045323790740958714,0.00014518542861918782,1770134193.3286169
92,0.9998288750648499,0.9996859111788483,2.3209000000079527e-05,2.3291116449926197e-05,fast,STABLE,3.5740971500386465e-05,5.414355624508263e-05,1.5646220730403115e-05,,,,0.000194333935150226,0.00014656814938351914,1770134193.3297842
93,0.9995908737182617,0.9996669036867311,2.312500000001272e-05,2.3257893159943504e-05,fast,STABLE,-1.9007492117251168e-05,4.7875986219239796e-05,1.1110317601259466e-06,,,,0.00043225128173829397,0.00013344910430901358,1770134193.330949
94,0.9997401833534241,0.9996815596200698,2.329199999984155e-05,2.3264714527923116e-05,fast,STABLE,1.4655933338714178e-05,3.8864946417276064e-05,-3.00216580282342e-06,,,,0.0002831086465757693,0.00028382583236696846,1770134193.332119
95,0.9998518824577332,0.9997156241876024,2.2707999999926898e-05,2.3153371622323876e-05,fast,STABLE,3.406456753263232e-05,4.233526314407988e-05,9.082890313028002e-06,,,,0.0001708255422667726,0.00013811008053599139,1770134193.333282
96,0.9997605681419373,0.9997246129784695,2.254199999995876e-05,2.3031097297850854e-05,fast,STABLE,8.988790867081597e-06,3.186106286469422e-05,1.4888554224312677e-05,,,,0.0002619738580627029,0.000193930446624746,1770134193.33444
97,0.9994561672210693,0.9996709238269895,2.2874999999977774e-05,2.299987783827624e-05,fast,STABLE,-5.3689151479963115e-05,2.2587564081545497e-05,-2.997470371757238e-06,,,,0.0005667077789306418,0.0004173578413084744,1770134193.335603
98,0.9998676180839539,0.9997102626783825,2.2709000000009638e-05,2.2941702270622923e-05,fast,STABLE,3.933885139295601e-05,2.2798038327130885e-05,8.671798330284198e-06,,,,0.00015509091604615222,0.00019375163269041984,1770134193.336789
99,0.9995675683021545,0.999681723803137,2.2834000000138133e-05,2.292016181652597e-05,fast,STABLE,-2.8538875245454065e-05,2.2627128258307307e-05,3.283661345054867e-08,,,,0.0004552656978455971,0.00034199124490363886,1770134193.337991
100,0.999449610710144,0.9996353011845385,2.2999999999884224e-05,2.293612945319762e-05,fast,STABLE,-4.642261859855168e-05,2.7026649417666e-05,-1.6064600612786252e-05,,,,0.0005733892898558413,0.0003133779222412869,1770134193.3391628
101,0.9995507001876831,0.9996183809851674,2.2959000000044583e-05,2.2940703562567015e-05,fast,STABLE,-1.6920199371051048e-05,3.202595344070577e-05,-2.124639866041278e-05,,,,0.0004722588123169391,0.00012749566305547688,1770134193.3403342
102,0.9998214244842529,0.9996589896849846,2.2707999999926898e-05,2.2894162850038994e-05,fast,STABLE,4.060869981714621e-05,3.247040493119367e-05,-2.3868284009909145e-06,,,,0.0002012835157469972,0.00019753112066633882,1770134193.3414989
103,0.9997684955596924,0.9996808908599262,2.2916999999900156e-05,2.2898730280011227e-05,fast,STABLE,2.1901174941607593e-05,3.2330952760155164e-05,-5.874363691260598e-06,,,,0.00025442144030751734,0.00015317847424323183,1770134193.34269
104,0.999673068523407,0.9996793263926225,2.287500000019982e-05,2.2893984224048947e-05,fast,STABLE,-1.564467303705186e-06,3.231210604985673e-05,-4.79482102910822e-07,,,,0.0003498064765932174,0.0003275756416321052,1770134193.3438652
105,0.9993610978126526,0.9996156806766285,2.2458000000113998e-05,2.280678737926196e-05,fast,STABLE,-6.364571599393187e-05,3.439585210785823e-05,-3.924101581986861e-06,,,,0.0006613601873475261,0.00014629452151471156,1770134193.345077
106,0.9997908473014832,0.9996507140015995,2.262499999994283e-05,2.2770429903398135e-05,fast,STABLE,3.503332497101219e-05,2.884557737347907e-05,6.466603286425787e-06,,,,0.00023177769851678853,0.00012461603546132238,1770134193.346245
107,0.9997474551200867,0.9996700622252971,2.2583000000020448e-05,2.27329439227226e-05,fast,STABLE,1.9348223697535083e-05,2.8814745484204758e-05,2.214508062503562e-06,,,,0.0002751278799133505,0.00026920532226548666,1770134193.347415
108,0.9998155832290649,0.9996991664260507,2.254199999995876e-05,2.2694755138169832e-05,fast,STABLE,2.9104200753637954e-05,2.70207552025152e-05,3.6551132249096343e-06,,,,0.00020695877093501736,0.0004177878877562602,1770134193.348594
109,0.999741792678833,0.9997076916766072,2.2666000000004516e-05,2.268900411053677e-05,fast,STABLE,8.52525055650144e-06,3.014475125765985e-05,5.673056796950959e-06,,,,0.0002808733211669967,0.00026029381161496445,1770134193.34977
110,0.9997972249984741,0.9997255983409807,2.262499999994283e-05,2.2676203288417984e-05,fast,STABLE,1.7906664373512626e-05,3.4164567052707436e-05,2.198353287043986e-05,,,,0.00022540000152582174,0.00035877828942854073,1770134193.350945
111,0.9998514652252197,0.9997507717178287,2.2957999999961842e-05,2.2732562630726756e-05,fast,STABLE,2.5173376847931195e-05,3.688746662773357e-05,2.001154324582366e-05,,,,0.00017149277478023528,0.00023298330288690217,1770134193.352128
112,0.9998806118965149,0.999776739753566,2.3208999999857483e-05,2.28278501045529e-05,fast,STABLE,2.596803573728934e-05,4.496841498991177e-05,2.1335505653774513e-05,,,,0.0001425971034849649,0.00011413843191543371,1770134193.353698
113,0.9985947012901306,0.999540332060879,2.3583000000160226e-05,2.2978880083674366e-05,fast,STABLE,-0.00023640769268695738,6.492744391550159e-05,-3.176687303434456e-05,,,,0.001428881709869545,0.00010088736361701933,1770134193.3549068
